surah:ayah	position	word	meaning	ayah_link
4:101	9	taqṣurū	you shorten	 فَلَيْسَ عَلَيْكُمْ جُنَاحٌ أَنْ تَقْصُرُوا مِنَ الصَّلَاةِ
7:202	7	yuq'ṣirūna	they cease	 وَإِخْوَانُهُمْ يَمُدُّونَهُمْ فِي الْغَيِّ ثُمَّ لَا يُقْصِرُونَ
7:74	14	quṣūran	palaces	 تَتَّخِذُونَ مِنْ سُهُولِهَا قُصُورًا وَتَنْحِتُونَ الْجِبَالَ بُيُوتًا
22:45	13	waqaṣrin	and castle	 فَهِيَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا وَبِئْرٍ مُعَطَّلَةٍ وَقَصْرٍ مَشِيدٍ
25:10	17	quṣūran	palaces	 وَيَجْعَلْ لَكَ قُصُورًا
77:32	4	kal-qaṣri	as the fortress	 إِنَّهَا تَرْمِي بِشَرَرٍ كَالْقَصْرِ
55:72	2	maqṣūrātun	restrained	 حُورٌ مَقْصُورَاتٌ فِي الْخِيَامِ
37:48	2	qāṣirātu	(will be) companions of modest gaze	 وَعِنْدَهُمْ قَاصِرَاتُ الطَّرْفِ عِينٌ
38:52	2	qāṣirātu	(will be) companions of modest gaze	 وَعِنْدَهُمْ قَاصِرَاتُ الطَّرْفِ أَتْرَابٌ
55:56	2	qāṣirātu	(will be) companions of modest gaze	 فِيهِنَّ قَاصِرَاتُ الطَّرْفِ لَمْ يَطْمِثْهُنَّ إِنْسٌ قَبْلَهُمْ وَلَا جَانٌّ
48:27	16	wamuqaṣṣirīna	and shortened	 آمِنِينَ مُحَلِّقِينَ رُءُوسَكُمْ وَمُقَصِّرِينَ لَا تَخَافُونَ
