surah:ayah	position	word	meaning	ayah_link
3:161	5	yaghulla	he defrauds	 وَمَا كَانَ لِنَبِيٍّ أَنْ يَغُلَّ
3:161	7	yaghlul	defrauds	 وَمَنْ يَغْلُلْ يَأْتِ بِمَا غَلَّ يَوْمَ الْقِيَامَةِ
3:161	10	ghalla	he had defrauded	 وَمَنْ يَغْلُلْ يَأْتِ بِمَا غَلَّ يَوْمَ الْقِيَامَةِ
5:64	6	ghullat	Are chained	 غُلَّتْ أَيْدِيهِمْ وَلُعِنُوا بِمَا قَالُوا
69:30	2	faghullūhu	and shackle him	 خُذُوهُ فَغُلُّوهُ
7:43	6	ghillin	malice	 وَنَزَعْنَا مَا فِي صُدُورِهِمْ مِنْ غِلٍّ تَجْرِي مِنْ تَحْتِهِمُ الْأَنْهَارُ
7:157	27	wal-aghlāla	and the fetters	 وَيَضَعُ عَنْهُمْ إِصْرَهُمْ وَالْأَغْلَالَ الَّتِي كَانَتْ عَلَيْهِمْ
13:5	17	l-aghlālu	the iron chains	 أُولَٰئِكَ الَّذِينَ كَفَرُوا بِرَبِّهِمْ وَأُولَٰئِكَ الْأَغْلَالُ فِي أَعْنَاقِهِمْ
15:47	6	ghillin	rancor	 وَنَزَعْنَا مَا فِي صُدُورِهِمْ مِنْ غِلٍّ إِخْوَانًا عَلَىٰ سُرُرٍ مُتَقَابِلِينَ
34:33	24	l-aghlāla	shackles	 وَجَعَلْنَا الْأَغْلَالَ فِي أَعْنَاقِ الَّذِينَ كَفَرُوا
36:8	5	aghlālan	iron collars	 إِنَّا جَعَلْنَا فِي أَعْنَاقِهِمْ أَغْلَالًا
40:71	2	l-aghlālu	the iron collars	 إِذِ الْأَغْلَالُ فِي أَعْنَاقِهِمْ وَالسَّلَاسِلُ يُسْحَبُونَ
59:10	17	ghillan	any rancor	 وَلَا تَجْعَلْ فِي قُلُوبِنَا غِلًّا لِلَّذِينَ آمَنُوا رَبَّنَا إِنَّكَ رَءُوفٌ رَحِيمٌ
76:4	5	wa-aghlālan	and shackles	 إِنَّا أَعْتَدْنَا لِلْكَافِرِينَ سَلَاسِلَ وَأَغْلَالًا وَسَعِيرًا
5:64	5	maghlūlatun	(is) chained	 وَقَالَتِ الْيَهُودُ يَدُ اللَّهِ مَغْلُولَةٌ
17:29	4	maghlūlatan	chained	 وَلَا تَجْعَلْ يَدَكَ مَغْلُولَةً إِلَىٰ عُنُقِكَ
