surah_ayah	position	string	meaning	ayah_link
15:6	8	lamajnūnun	(are) surely mad	 وَقَالُوا يَا أَيُّهَا الَّذِي نُزِّلَ عَلَيْهِ الذِّكْرُ إِنَّكَ لَمَجْنُونٌ
26:27	7	lamajnūnun	(is) surely mad	 قَالَ إِنَّ رَسُولَكُمُ الَّذِي أُرْسِلَ إِلَيْكُمْ لَمَجْنُونٌ
37:36	6	majnūnin	mad	 وَيَقُولُونَ أَئِنَّا لَتَارِكُو آلِهَتِنَا لِشَاعِرٍ مَجْنُونٍ
44:14	6	majnūnun	a mad man	 ثُمَّ تَوَلَّوْا عَنْهُ وَقَالُوا مُعَلَّمٌ مَجْنُونٌ
51:39	6	majnūnun	a madman	 فَتَوَلَّىٰ بِرُكْنِهِ وَقَالَ سَاحِرٌ أَوْ مَجْنُونٌ
51:52	13	majnūnun	a madman	 كَذَٰلِكَ مَا أَتَى الَّذِينَ مِنْ قَبْلِهِمْ مِنْ رَسُولٍ إِلَّا قَالُوا سَاحِرٌ أَوْ مَجْنُونٌ
52:29	8	majnūnin	a madman	 فَذَكِّرْ فَمَا أَنْتَ بِنِعْمَتِ رَبِّكَ بِكَاهِنٍ وَلَا مَجْنُونٍ
54:9	8	majnūnun	A madman	 كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ فَكَذَّبُوا عَبْدَنَا وَقَالُوا مَجْنُونٌ وَازْدُجِرَ
68:2	5	bimajnūnin	a madman	 مَا أَنْتَ بِنِعْمَةِ رَبِّكَ بِمَجْنُونٍ
68:51	12	lamajnūnun	(is) surely mad	 وَيَقُولُونَ إِنَّهُ لَمَجْنُونٌ
81:22	3	bimajnūnin	mad	 وَمَا صَاحِبُكُمْ بِمَجْنُونٍ
