surah:ayah	position	word	meaning	ayah_link
16:6	3	jamālun	(is) beauty	 وَلَكُمْ فِيهَا جَمَالٌ حِينَ تُرِيحُونَ وَحِينَ تَسْرَحُونَ
77:33	2	jimālatun	camels	 كَأَنَّهُ جِمَالَتٌ صُفْرٌ
7:40	17	l-jamalu	the camel	 وَلَا يَدْخُلُونَ الْجَنَّةَ حَتَّىٰ يَلِجَ الْجَمَلُ فِي سَمِّ الْخِيَاطِ
25:32	8	jum'latan	all at once	 وَقَالَ الَّذِينَ كَفَرُوا لَوْلَا نُزِّلَ عَلَيْهِ الْقُرْآنُ جُمْلَةً وَاحِدَةً
12:18	13	jamīlun	(is) beautiful	 قَالَ بَلْ سَوَّلَتْ لَكُمْ أَنْفُسُكُمْ أَمْرًا فَصَبْرٌ جَمِيلٌ وَاللَّهُ الْمُسْتَعَانُ
12:83	8	jamīlun	(is) beautiful	 قَالَ بَلْ سَوَّلَتْ لَكُمْ أَنْفُسُكُمْ أَمْرًا فَصَبْرٌ جَمِيلٌ عَسَى اللَّهُ أَنْ يَأْتِيَنِي بِهِمْ جَمِيعًا
15:85	14	l-jamīla	gracious	 وَإِنَّ السَّاعَةَ لَآتِيَةٌ فَاصْفَحِ الصَّفْحَ الْجَمِيلَ
33:28	15	jamīlan	good	 فَتَعَالَيْنَ أُمَتِّعْكُنَّ وَأُسَرِّحْكُنَّ سَرَاحًا جَمِيلًا
33:49	22	jamīlan	good	 فَمَتِّعُوهُنَّ وَسَرِّحُوهُنَّ سَرَاحًا جَمِيلًا
70:5	3	jamīlan	good	 فَاصْبِرْ صَبْرًا جَمِيلًا
73:10	7	jamīlan	gracious	 وَاصْبِرْ عَلَىٰ مَا يَقُولُونَ وَاهْجُرْهُمْ هَجْرًا جَمِيلًا
