surah_ayah	position	string	meaning	ayah_link
5:12	10	ʿashara	(and) ten	 وَبَعَثْنَا مِنْهُمُ اثْنَيْ عَشَرَ نَقِيبًا
6:160	5	ʿashru	(is) ten (times)	 مَنْ جَاءَ بِالْحَسَنَةِ فَلَهُ عَشْرُ أَمْثَالِهَا
7:142	6	biʿashrin	with ten (more)	 وَوَاعَدْنَا مُوسَىٰ ثَلَاثِينَ لَيْلَةً وَأَتْمَمْنَاهَا بِعَشْرٍ
9:36	7	ʿashara	(is) twelve	 إِنَّ عِدَّةَ الشُّهُورِ عِنْدَ اللَّهِ اثْنَا عَشَرَ شَهْرًا فِي كِتَابِ اللَّهِ
11:13	6	biʿashri	ten	 أَمْ يَقُولُونَ افْتَرَاهُ قُلْ فَأْتُوا بِعَشْرِ سُوَرٍ مِثْلِهِ مُفْتَرَيَاتٍ
12:4	9	ʿashara	eleven	 إِذْ قَالَ يُوسُفُ لِأَبِيهِ يَا أَبَتِ إِنِّي رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا
74:30	3	ʿashara	teen	 عَلَيْهَا تِسْعَةَ عَشَرَ
89:2	2	ʿashrin	ten	 وَلَيَالٍ عَشْرٍ
2:60	12	ʿashrata	twelve	 فَقُلْنَا اضْرِبْ بِعَصَاكَ الْحَجَرَ فَانْفَجَرَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًا
2:196	57	ʿasharatun	(is) ten (days)	 تِلْكَ عَشَرَةٌ كَامِلَةٌ
2:234	10	waʿashran	and ten (days)	 يَتَرَبَّصْنَ بِأَنْفُسِهِنَّ أَرْبَعَةَ أَشْهُرٍ وَعَشْرًا
4:19	22	waʿāshirūhunna	And live with them	 وَعَاشِرُوهُنَّ بِالْمَعْرُوفِ
5:89	14	ʿasharati	(of) ten	 فَكَفَّارَتُهُ إِطْعَامُ عَشَرَةِ مَسَاكِينَ
6:128	4	yāmaʿshara	"(and will say), ""O assembly"	 وَيَوْمَ يَحْشُرُهُمْ جَمِيعًا يَا مَعْشَرَ الْجِنِّ قَدِ اسْتَكْثَرْتُمْ مِنَ الْإِنْسِ
6:130	1	yāmaʿshara	O assembly	 يَا مَعْشَرَ الْجِنِّ وَالْإِنْسِ أَلَمْ يَأْتِكُمْ رُسُلٌ مِنْكُمْ
7:160	3	ʿashrata	(and) ten [i.e. twelve]	 وَقَطَّعْنَاهُمُ اثْنَتَيْ عَشْرَةَ أَسْبَاطًا أُمَمًا
7:160	19	ʿashrata	(and) ten [i.e. twelve]	 أَنِ اضْرِبْ بِعَصَاكَ الْحَجَرَ فَانْبَجَسَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًا
8:65	10	ʿish'rūna	twenty	 إِنْ يَكُنْ مِنْكُمْ عِشْرُونَ صَابِرُونَ يَغْلِبُوا مِائَتَيْنِ
9:24	8	waʿashīratukum	and your relatives	 قُلْ إِنْ كَانَ آبَاؤُكُمْ وَأَبْنَاؤُكُمْ وَإِخْوَانُكُمْ وَأَزْوَاجُكُمْ وَعَشِيرَتُكُمْ
20:103	6	ʿashran	ten	 يَتَخَافَتُونَ بَيْنَهُمْ إِنْ لَبِثْتُمْ إِلَّا عَشْرًا
22:13	10	l-ʿashīru	friend	 لَبِئْسَ الْمَوْلَىٰ وَلَبِئْسَ الْعَشِيرُ
26:214	2	ʿashīrataka	your kindred	 وَأَنْذِرْ عَشِيرَتَكَ الْأَقْرَبِينَ
28:27	16	ʿashran	ten	 فَإِنْ أَتْمَمْتَ عَشْرًا فَمِنْ عِنْدِكَ
34:45	7	miʿ'shāra	a tenth	 وَكَذَّبَ الَّذِينَ مِنْ قَبْلِهِمْ وَمَا بَلَغُوا مِعْشَارَ مَا آتَيْنَاهُمْ
55:33	1	yāmaʿshara	O assembly	 يَا مَعْشَرَ الْجِنِّ وَالْإِنْسِ إِنِ اسْتَطَعْتُمْ أَنْ تَنْفُذُوا مِنْ أَقْطَارِ السَّمَاوَاتِ وَالْأَرْضِ فَانْفُذُوا
58:22	21	ʿashīratahum	their kindred	 وَلَوْ كَانُوا آبَاءَهُمْ أَوْ أَبْنَاءَهُمْ أَوْ إِخْوَانَهُمْ أَوْ عَشِيرَتَهُمْ
81:4	2	l-ʿishāru	the full-term she-camels	 وَإِذَا الْعِشَارُ عُطِّلَتْ
