surah:ayah	position	word	meaning	ayah_link
2:260	21	l-ṭayri	the birds	 قَالَ فَخُذْ أَرْبَعَةً مِنَ الطَّيْرِ فَصُرْهُنَّ إِلَيْكَ
3:49	17	l-ṭayri	(of) the bird	 أَنِّي أَخْلُقُ لَكُمْ مِنَ الطِّينِ كَهَيْئَةِ الطَّيْرِ
3:49	21	ṭayran	a bird	 فَأَنْفُخُ فِيهِ فَيَكُونُ طَيْرًا بِإِذْنِ اللَّهِ
5:110	32	l-ṭayri	(of) the bird	 وَإِذْ تَخْلُقُ مِنَ الطِّينِ كَهَيْئَةِ الطَّيْرِ بِإِذْنِي
5:110	37	ṭayran	a bird	 فَتَنْفُخُ فِيهَا فَتَكُونُ طَيْرًا بِإِذْنِي
12:36	20	l-ṭayru	the birds	 إِنِّي أَرَانِي أَحْمِلُ فَوْقَ رَأْسِي خُبْزًا تَأْكُلُ الطَّيْرُ مِنْهُ
12:41	12	l-ṭayru	the birds	 وَأَمَّا الْآخَرُ فَيُصْلَبُ فَتَأْكُلُ الطَّيْرُ مِنْ رَأْسِهِ
16:79	4	l-ṭayri	the birds	 أَلَمْ يَرَوْا إِلَى الطَّيْرِ مُسَخَّرَاتٍ فِي جَوِّ السَّمَاءِ
21:79	12	wal-ṭayra	and the birds	 وَسَخَّرْنَا مَعَ دَاوُودَ الْجِبَالَ يُسَبِّحْنَ وَالطَّيْرَ
22:31	14	l-ṭayru	the birds	 وَمَنْ يُشْرِكْ بِاللَّهِ فَكَأَنَّمَا خَرَّ مِنَ السَّمَاءِ فَتَخْطَفُهُ الطَّيْرُ
24:41	11	wal-ṭayru	and the birds	 أَلَمْ تَرَ أَنَّ اللَّهَ يُسَبِّحُ لَهُ مَنْ فِي السَّمَاوَاتِ وَالْأَرْضِ وَالطَّيْرُ صَافَّاتٍ كُلٌّ قَدْ عَلِمَ صَلَاتَهُ وَتَسْبِيحَهُ
27:16	9	l-ṭayri	(of) the birds	 وَوَرِثَ سُلَيْمَانُ دَاوُودَ وَقَالَ يَا أَيُّهَا النَّاسُ عُلِّمْنَا مَنْطِقَ الطَّيْرِ
27:17	7	wal-ṭayri	and the birds	 وَحُشِرَ لِسُلَيْمَانَ جُنُودُهُ مِنَ الْجِنِّ وَالْإِنْسِ وَالطَّيْرِ
27:20	2	l-ṭayra	the birds	 وَتَفَقَّدَ الطَّيْرَ فَقَالَ مَا لِيَ لَا أَرَى الْهُدْهُدَ
34:10	9	wal-ṭayra	and the birds	 وَلَقَدْ آتَيْنَا دَاوُودَ مِنَّا فَضْلًا يَا جِبَالُ أَوِّبِي مَعَهُ وَالطَّيْرَ
38:19	1	wal-ṭayra	And the birds	 وَالطَّيْرَ مَحْشُورَةً كُلٌّ لَهُ أَوَّابٌ
56:21	2	ṭayrin	(of) fowls	 وَلَحْمِ طَيْرٍ مِمَّا يَشْتَهُونَ
67:19	4	l-ṭayri	the birds	 أَوَلَمْ يَرَوْا إِلَى الطَّيْرِ فَوْقَهُمْ صَافَّاتٍ وَيَقْبِضْنَ
105:3	3	ṭayran	birds	 وَأَرْسَلَ عَلَيْهِمْ طَيْرًا أَبَابِيلَ
