surah:ayah	position	string	meaning	ayah_link
9:101	9	maradū	They persist	 وَمِنْ أَهْلِ الْمَدِينَةِ مَرَدُوا عَلَى النِّفَاقِ لَا تَعْلَمُهُمْ
13:11	28	maradda	turning away	 وَإِذَا أَرَادَ اللَّهُ بِقَوْمٍ سُوءًا فَلَا مَرَدَّ لَهُ
30:43	11	maradda	(can be) averted	 فَأَقِمْ وَجْهَكَ لِلدِّينِ الْقَيِّمِ مِنْ قَبْلِ أَنْ يَأْتِيَ يَوْمٌ لَا مَرَدَّ لَهُ مِنَ اللَّهِ
40:43	15	maraddanā	our return	 وَأَنَّ مَرَدَّنَا إِلَى اللَّهِ وَأَنَّ الْمُسْرِفِينَ هُمْ أَصْحَابُ النَّارِ
42:44	18	maraddin	return	 وَتَرَى الظَّالِمِينَ لَمَّا رَأَوُا الْعَذَابَ يَقُولُونَ هَلْ إِلَىٰ مَرَدٍّ مِنْ سَبِيلٍ
42:47	9	maradda	averting	 اسْتَجِيبُوا لِرَبِّكُمْ مِنْ قَبْلِ أَنْ يَأْتِيَ يَوْمٌ لَا مَرَدَّ لَهُ مِنَ اللَّهِ
4:117	11	marīdan	rebellious	 وَإِنْ يَدْعُونَ إِلَّا شَيْطَانًا مَرِيدًا
22:3	12	marīdin	rebellious	 وَيَتَّبِعُ كُلَّ شَيْطَانٍ مَرِيدٍ
27:44	15	mumarradun	made smooth	 قَالَ إِنَّهُ صَرْحٌ مُمَرَّدٌ مِنْ قَوَارِيرَ
37:7	5	māridin	rebellious	 وَحِفْظًا مِنْ كُلِّ شَيْطَانٍ مَارِدٍ
