surah:ayah	position	word	meaning	ayah_link
3:36	16	sammaytuhā	[I] (have) named her	 وَإِنِّي سَمَّيْتُهَا مَرْيَمَ
7:71	12	sammaytumūhā	you have named them 	 أَتُجَادِلُونَنِي فِي أَسْمَاءٍ سَمَّيْتُمُوهَا أَنْتُمْ وَآبَاؤُكُمْ
12:40	7	sammaytumūhā	which you have named them	 مَا تَعْبُدُونَ مِنْ دُونِهِ إِلَّا أَسْمَاءً سَمَّيْتُمُوهَا أَنْتُمْ وَآبَاؤُكُمْ
13:33	13	sammūhum	Name them	 وَجَعَلُوا لِلَّهِ شُرَكَاءَ قُلْ سَمُّوهُمْ
22:78	19	sammākumu	named you	 هُوَ سَمَّاكُمُ الْمُسْلِمِينَ مِنْ قَبْلُ وَفِي هَٰذَا
53:23	5	sammaytumūhā	you have named them	 إِنْ هِيَ إِلَّا أَسْمَاءٌ سَمَّيْتُمُوهَا أَنْتُمْ وَآبَاؤُكُمْ
53:27	6	layusammūna	surely they name	 إِنَّ الَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ لَيُسَمُّونَ الْمَلَائِكَةَ تَسْمِيَةَ الْأُنْثَىٰ
76:18	3	tusammā	named	 عَيْنًا فِيهَا تُسَمَّىٰ سَلْسَبِيلًا
1:1	1	bis'mi	In (the) name	 بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
2:31	3	l-asmāa	the names 	 وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ
2:31	11	bi-asmāi	of (the) names	 فَقَالَ أَنْبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِنْ كُنْتُمْ صَادِقِينَ
2:33	4	bi-asmāihim	of their names	 قَالَ يَا آدَمُ أَنْبِئْهُمْ بِأَسْمَائِهِمْ
2:33	7	bi-asmāihim	of their names	 فَلَمَّا أَنْبَأَهُمْ بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُلْ لَكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ
